,Date,User,Tweet
0,2022-12-02 19:50:26+00:00,CongressOrBJP,AFPOH Startup Of Visionary @IMPraveenDalal Is The Digital Companion And Digital Gateway For Indian Farmers https://t.co/wERJajTHCc. We Would Protect You From Hoaxes Like #Covid19 And #GlobalWarming Too #DigitalIndia #IndiaTechade @_PTLB @HaarpDecoded @DisasterReliefs @AadhaarLies https://t.co/heQikFsV0x
1,2022-12-02 19:49:14+00:00,CongressOrBJP,"Do not forget that international cabal and #GenocidalManiacs snatched away your liberties and #BodilyAutonomy from you by using the #Covid19 hoax. They pushed #DeathShots killing millions globally, including in India, says Visionary @IMPraveenDalal. #DigitalIndia #IndiaTechade https://t.co/f9zXWgmJnH"
2,2022-12-02 17:18:36+00:00,INDIAdrive21,"INDIA DRIVE: Find Online Citizen Services QUICKER 

INDIA Drive is your SEARCH ENGINE for Online Services from Andaman and Nicobar and Central Governments.

https://t.co/uEfYlyw8Gi

https://t.co/6DVK6dMpG2

  #SouthAndaman #DigitalIndia #PortBlair"
3,2022-12-02 14:55:01+00:00,indiamarketing_,"James Webb Space Telescope - First Images from the Unseen Universe - Video for National Astro Video Podcast Competition 2022 by Space India - https://t.co/n2MeOsXOyl

#SPACEindia #DigitalIndia #ThinkShootUpload"
4,2022-12-02 11:30:00+00:00,HPCL,"Get billed for what is filled. With Integrated Payment Solution, the exact amount fuelled is transmitted to the POS machine from the Dispensing unit. #GoDigital #ContactlessPayment #CashlessPayment #DigitalIndia #SmartPay https://t.co/8EJOvQ7FTj"
5,2022-12-02 10:50:08+00:00,CongressOrBJP,"Do not forget that international cabal and #GenocidalManiacs snatched away your liberties and #BodilyAutonomy from you by using the #Covid19 hoax. They pushed #DeathShots killing millions globally, including in India, says Visionary @IMPraveenDalal. #DigitalIndia @DisasterReliefs https://t.co/Bb4OQ6AF8v"
6,2022-12-02 10:19:41+00:00,tejasvisharma,"Digi Yatra made available from today at Delhi, Varanasi &amp; Bengaluru #airports for domestic passengers. Facial Recognition Technology for passengers to check-in. India scales up its #digtial transformation. @JM_Scindia #TravelAndTourism #TravelForABetterFuture #DigitalIndia"
7,2022-12-02 08:58:36+00:00,INDIAdrive21,"INDIA DRIVE: Find Online Citizen Services QUICKER 

INDIA Drive is your SEARCH ENGINE for Online Services from Andaman and Nicobar and Central Governments.

https://t.co/uEfYlyf5Ei

https://t.co/6DVK6e4yUa

#NorthandMiddleAndaman #DigitalIndia  #Mayabunder"
8,2022-12-02 08:49:31+00:00,_AFPOH,AFPOH Startup Of Visionary @IMPraveenDalal  Is The Digital Companion And Digital Gateway For Indian Farmers https://t.co/3Ly6eMe1dY. We Would Protect You From Hoaxes Like #Covid19 And #GlobalWarming Too. #DigitalIndia #LegalTech @_PTLB @HaarpDecoded @DisasterReliefs @AadhaarLies https://t.co/6p0utwqkYK
9,2022-12-02 08:46:21+00:00,_AFPOH,#Telelaw Startup Of Visionary @IMPraveenDalal Would Resolve Ground Level Problems Of Rural Communities And Global Farmers https://t.co/zPEqZivWsX. We Would Protect You From Hoaxes Like #Covid19 And #GlobalWarming Too. #DigitalIndia #LegalTech @_PTLB @HaarpDecoded @DisasterReliefs https://t.co/bNhiDlntUH
10,2022-12-02 07:35:54+00:00,sylviafernand,"@IndiaPostOffice I had been to Barve Nagar post office - 400 084 to send 2 parcels. Officer was discouraging me from making UPI payment, as it fails regularly. The payment failed twice, had to pay in cash &amp; send only 1 parcel. Why isn't the problem being solved? #DigitalIndia"
11,2022-12-02 06:28:17+00:00,JawaharMB,"73% Of Laptops are Imported by #India From #China 🙄😠
We do have ""#flagship"" PR schemes like #MakeInIndia #DigitalIndia

Our Gov has done a #SurgicalStrike by banning #Chinese #apps

https://t.co/0eGOqterhY via @thewire_in"
12,2022-12-02 06:09:10+00:00,InspectorDhola,"@sbhatia100 from @8roadsventures 
#MAMA2022 
India first business, solving India problems first this has led #startupindia ecosystem. This growth was further fueled by global VCs. 
#DigitalIndia https://t.co/Wo7AWrxVo6"
13,2022-12-02 05:54:24+00:00,_OfficialECI,"So far as per our personal experience, responses from various PIOs and the conduct of MeitY, once thing is clear that #DigitalIndia project is more rhetoric and scam than a reality says Visionary @IMPraveenDalal https://t.co/DfaEIhnTYp. @AadhaarLies @FreedomMyths @_GroundReality"
14,2022-12-02 05:52:46+00:00,_OfficialECI,"Do not forget that international cabal and #GenocidalManiacs snatched away your liberties and #BodilyAutonomy from you by using the #Covid19 hoax. They pushed #DeathShots killing millions globally, including in India, says Visionary @IMPraveenDalal. #DigitalIndia @DisasterReliefs https://t.co/6Eg8LqpWo1"
15,2022-12-02 05:50:49+00:00,_OfficialECI,National Institutes of Health (NIH) had deleted SARS-CoV-2 sequences from its databases https://t.co/JzQWeFMLKm. #Covid19 hoax is not a virus but a #BioWarfare agent stimulated on a computer in lab clarifies Visionary @IMPraveenDalal. Modi govt fooled you. #DigitalIndia @_CEPHRC
16,2022-12-01 22:58:36+00:00,INDIAdrive21,"INDIA DRIVE: Find Online Citizen Services QUICKER 

INDIA Drive is your SEARCH ENGINE for Online Services from Andaman and Nicobar and Central Governments.

https://t.co/uEfYlyf5Ei

https://t.co/6DVK6e4yUa

 #Nicobar #DigitalIndia #Carnicobar"
17,2022-12-01 22:38:36+00:00,INDIAdrive21,"INDIA DRIVE: Find Online Citizen Services QUICKER 

INDIA Drive is your SEARCH ENGINE for Online Services from Andaman and Nicobar and Central Governments.

https://t.co/uEfYlyf5Ei 

https://t.co/6DVK6e4yUa

#Andaman #Nicobar #DigitalIndia"
18,2022-12-01 22:18:36+00:00,INDIAdrive21,"INDIA DRIVE: Find Online Citizen Services QUICKER 

INDIA Drive is your SEARCH ENGINE for Online Services from Andaman and Nicobar and Central Governments.

https://t.co/uEfYlyw8Gi

https://t.co/6DVK6dMpG2

  #SouthAndaman #DigitalIndia #PortBlair"
19,2022-12-01 18:54:16+00:00,arpan355,after many attempt now Otp limit exceed I am getting @IRCTCofficial thanks to your inefficient service.Your app ask mentions Otp send on email id but I get sms otp When I enter that it shows https://t.co/Ab3eq3Kxzo way to harras people from Booking ticket Shame #DigitalIndia
